type,fn_type,activation,mse,random_mse,normalised_mse
interp,add,None,0.1677427440881729,158.41958618164062,0.10588510431774677
extrap,add,None,0.5253118872642517,467.7803955078125,0.11229882489923167
interp,add,NAC,0.33875030279159546,158.41958618164062,0.2138310741471016
extrap,add,NAC,1.0005426406860352,467.7803955078125,0.21389152907955178
interp,add,NALU,0.15185551345348358,158.41958618164062,0.09585652703281852
extrap,add,NALU,0.17503508925437927,467.7803955078125,0.03741821823558144
interp,add,ReLU6,31.616186141967773,158.41958618164062,19.95724575730005
extrap,add,ReLU6,200.71116638183594,467.7803955078125,42.90713512351199
interp,add,Tanh,9.157915115356445,158.41958618164062,5.780797271403151
extrap,add,Tanh,153.34881591796875,467.7803955078125,32.78222375084713
interp,add,Sigmoid,6.906088829040527,158.41958618164062,4.359365527645141
extrap,add,Sigmoid,141.61502075195312,467.7803955078125,30.27382551981873
interp,add,Softsign,8.490352630615234,158.41958618164062,5.35940841360384
extrap,add,Softsign,147.70693969726562,467.7803955078125,31.576128695371704
interp,add,SELU,1.055344581604004,158.41958618164062,0.6661705203509165
extrap,add,SELU,3.0334253311157227,467.7803955078125,0.6484720950784396
interp,add,ELU,10.306354522705078,158.41958618164062,6.505732511438342
extrap,add,ELU,158.24375915527344,467.7803955078125,33.828642815072946
interp,add,ReLU,31.590187072753906,158.41958618164062,19.940834232790667
extrap,add,ReLU,200.49449157714844,467.7803955078125,42.8608153532163
interp,sub,None,0.4143487513065338,35.169376373291016,1.1781521142388134
extrap,sub,None,1.327865719795227,47.83642578125,2.7758464352403567
interp,sub,NAC,0.16438701748847961,35.169376373291016,0.4674152186938449
extrap,sub,NAC,0.5501272082328796,47.83642578125,1.150017375354385
interp,sub,NALU,0.1487068235874176,35.169376373291016,0.4228304249953983
extrap,sub,NALU,0.46219879388809204,47.83642578125,0.9662067897833115
interp,sub,ReLU6,9.507914543151855,35.169376373291016,27.03464071194772
extrap,sub,ReLU6,26.267900466918945,47.83642578125,54.91192127739387
interp,sub,Tanh,9.31326961517334,35.169376373291016,26.481190670887745
extrap,sub,Tanh,17.420570373535156,47.83642578125,36.41695651175372
interp,sub,Sigmoid,6.198638916015625,35.169376373291016,17.625103300731574
extrap,sub,Sigmoid,14.551623344421387,47.83642578125,30.419545580106973
interp,sub,Softsign,7.494485378265381,35.169376373291016,21.309690847850753
extrap,sub,Softsign,13.910975456237793,47.83642578125,29.080298598919047
interp,sub,SELU,3.4994354248046875,35.169376373291016,9.95023450987972
extrap,sub,SELU,13.511787414550781,47.83642578125,28.245813088834222
interp,sub,ELU,1.333830714225769,35.169376373291016,3.7925913160027815
extrap,sub,ELU,4.107761859893799,47.83642578125,8.5871002960758
interp,sub,ReLU,1.9373681545257568,35.169376373291016,5.508679295198049
extrap,sub,ReLU,6.220449924468994,47.83642578125,13.003584241252335
interp,mul,None,544.6685791015625,2390.520751953125,22.784515828049283
extrap,mul,None,10107.1572265625,22684.2734375,44.5557899591092
interp,mul,NAC,2192.943603515625,2390.520751953125,91.73497455413957
extrap,mul,NAC,22074.4296875,22684.2734375,97.31160113335677
interp,mul,NALU,2192.944580078125,2390.520751953125,91.73501540559418
extrap,mul,NALU,22074.4296875,22684.2734375,97.31160113335677
interp,mul,ReLU6,1803.9156494140625,2390.520751953125,75.46120015650192
extrap,mul,ReLU6,21964.58984375,22684.2734375,96.82738970797155
interp,mul,Tanh,2113.7998046875,2390.520751953125,88.42423990506938
extrap,mul,Tanh,22372.08984375,22684.2734375,98.62378843823174
interp,mul,Sigmoid,2113.611572265625,2390.520751953125,88.41636578719272
extrap,mul,Sigmoid,22373.158203125,22684.2734375,98.62849813007153
interp,mul,Softsign,2128.458251953125,2390.520751953125,89.03743045167514
extrap,mul,Softsign,22372.5,22684.2734375,98.62559654661631
interp,mul,SELU,1992.797607421875,2390.520751953125,83.36248935691947
extrap,mul,SELU,22224.755859375,22684.2734375,97.97429007637794
interp,mul,ELU,291.5838623046875,2390.520751953125,12.19750391484596
extrap,mul,ELU,9469.2666015625,22684.2734375,41.74375091912176
interp,mul,ReLU,2292.279296875,2390.520751953125,95.89037430451675
extrap,mul,ReLU,22575.001953125,22684.2734375,99.51829409623338
interp,div,None,2.370715856552124,7.163356781005859,33.09504090091174
extrap,div,None,3.4559030532836914,13.743081092834473,25.146493933486067
interp,div,NAC,2.3452138900756836,7.163356781005859,32.73903508888713
extrap,div,NAC,3.205587863922119,13.743081092834473,23.325103317577643
interp,div,NALU,0.0017675310373306274,7.163356781005859,0.02467461961433164
extrap,div,NALU,0.002165738260373473,13.743081092834473,0.015758753410126284
interp,div,ReLU6,0.7092959880828857,7.163356781005859,9.901726380062955
extrap,div,ReLU6,0.23044000566005707,13.743081092834473,1.6767710537646945
interp,div,Tanh,1.2672652006149292,7.163356781005859,17.69094070499422
extrap,div,Tanh,0.6892884969711304,13.743081092834473,5.015531032051609
interp,div,Sigmoid,0.6907585263252258,7.163356781005859,9.642944606037497
extrap,div,Sigmoid,0.2269766628742218,13.743081092834473,1.6515704254453212
interp,div,Softsign,0.4675014019012451,7.163356781005859,6.526289506350678
extrap,div,Softsign,0.5069772601127625,13.743081092834473,3.6889636078557095
interp,div,SELU,2.318331480026245,7.163356781005859,32.36375837335735
extrap,div,SELU,5.019932270050049,13.743081092834473,36.52697845658059
interp,div,ELU,0.9240935444831848,7.163356781005859,12.90028645415908
extrap,div,ELU,1.6687431335449219,13.743081092834473,12.14242368412561
interp,div,ReLU,2.4317426681518555,7.163356781005859,33.94697126631736
extrap,div,ReLU,1.4799946546554565,13.743081092834473,10.769016384740052
interp,squared,None,658.9647827148438,4001.53759765625,16.467789359290478
extrap,squared,None,10180.1044921875,23438.02734375,43.43413523195728
interp,squared,NAC,3913.56494140625,4001.53759765625,97.80152868483539
extrap,squared,NAC,23198.197265625,23438.02734375,98.97674802316948
interp,squared,NALU,3913.5478515625,4001.53759765625,97.80110160291167
extrap,squared,NALU,23198.197265625,23438.02734375,98.97674802316948
interp,squared,ReLU6,3442.269287109375,4001.53759765625,86.0236647314161
extrap,squared,ReLU6,22795.767578125,23438.02734375,97.25975332221692
interp,squared,Tanh,3752.341552734375,4001.53759765625,93.7724927270999
extrap,squared,Tanh,23197.658203125,23438.02734375,98.97444807491831
interp,squared,Sigmoid,3754.64404296875,4001.53759765625,93.83003286456415
extrap,squared,Sigmoid,23195.84765625,23438.02734375,98.96672324872691
interp,squared,Softsign,3777.7099609375,4001.53759765625,94.40645923582353
extrap,squared,Softsign,23197.23828125,23438.02734375,98.97265644856324
interp,squared,SELU,3630.240966796875,4001.53759765625,90.72115101262955
extrap,squared,SELU,23042.369140625,23438.02734375,98.31189631566623
interp,squared,ELU,274.0272521972656,4001.53759765625,6.848048918939729
extrap,squared,ELU,7870.640625,23438.02734375,33.580644435500204
interp,squared,ReLU,288.5294189453125,4001.53759765625,7.21046377558236
extrap,squared,ReLU,7601.765625,23438.02734375,32.43347024691944
interp,sqrt,None,0.3085193336009979,3.369250774383545,9.156912152300274
extrap,sqrt,None,2.730766534805298,15.817143440246582,17.264599926791373
interp,sqrt,NAC,1.251684308052063,3.369250774383545,37.15022691598483
extrap,sqrt,NAC,5.772951126098633,15.817143440246582,36.498063938709755
interp,sqrt,NALU,0.044815778732299805,3.369250774383545,1.33014078598823
extrap,sqrt,NALU,0.13548624515533447,15.817143440246582,0.8565784692234055
interp,sqrt,ReLU6,0.25847452878952026,3.369250774383545,7.671572883642419
extrap,sqrt,ReLU6,2.8338515758514404,15.817143440246582,17.9163297504196
interp,sqrt,Tanh,0.25490978360176086,3.369250774383545,7.565770572491757
extrap,sqrt,Tanh,2.8076117038726807,15.817143440246582,17.750434612160987
interp,sqrt,Sigmoid,0.22202953696250916,3.369250774383545,6.589878635648093
extrap,sqrt,Sigmoid,2.5286998748779297,15.817143440246582,15.987083157150078
interp,sqrt,Softsign,0.21304680407047272,3.369250774383545,6.323269425068332
extrap,sqrt,Softsign,2.4729387760162354,15.817143440246582,15.634547321129203
interp,sqrt,SELU,0.2671273946762085,3.369250774383545,7.928391579136268
extrap,sqrt,SELU,1.9007165431976318,15.817143440246582,12.016812962328428
interp,sqrt,ELU,0.21949096024036407,3.369250774383545,6.514533198572114
extrap,sqrt,ELU,2.581308364868164,15.817143440246582,16.31968739880077
interp,sqrt,ReLU,0.27218562364578247,3.369250774383545,8.078520771300644
extrap,sqrt,ReLU,1.9448014497756958,15.817143440246582,12.29552894378618
